Designator,Mid X,Mid Y,Rotation,Layer
C1,108.0,-109.5,90.0,top
C3,112.0,-109.5,90.0,top
D1,114.0,-99.77,90.0,top
D10,200.73,-66.0,0.0,top
D11,163.73,-66.0,0.0,top
D12,182.73,-57.0,0.0,top
D13,200.73,-50.0,0.0,top
D14,165.73,-50.0,0.0,top
D2,183.0,-66.0,0.0,top
D3,192.27,-66.0,0.0,top
D4,173.27,-66.0,0.0,top
D5,172.73,-57.0,0.0,top
D6,192.73,-76.0,0.0,top
D7,192.73,-57.0,0.0,top
D8,172.73,-76.0,0.0,top
D9,182.73,-76.0,0.0,top
Q10,146.46,-81.0,0.0,top
Q5,146.46,-42.0,0.0,top
Q6,147.0,-50.0,0.0,top
Q7,146.46,-57.0,0.0,top
Q8,146.46,-65.0,0.0,top
Q9,146.46,-73.0,0.0,top
R1,128.25,-104.75,270.0,top
R101,130.0,-59.0,0.0,top
R111,130.355,-62.225,0.0,top
R121,130.355,-65.375,0.0,top
R131,130.355,-68.525,0.0,top
R14,155.81,-103.3,180.0,top
R15,155.81,-100.15,180.0,top
R16,155.81,-97.0,180.0,top
R17,155.81,-93.85,180.0,top
R18,155.81,-90.7,180.0,top
R19,155.81,-86.3,180.0,top
R20,108.0,-100.5,270.0,top
R21,130.0,-35.0,0.0,top
R211,130.0,-72.0,0.0,top
R221,130.0,-75.15,0.0,top
R2222,128.25,-114.75,270.0,top
R231,130.0,-78.3,0.0,top
R241,130.0,-81.45,0.0,top
R251,130.0,-84.6,0.0,top
R261,130.0,-87.75,0.0,top
R31,130.0,-38.0,0.0,top
R41,130.0,-41.0,0.0,top
R51,130.0,-44.0,0.0,top
R61,130.0,-47.0,0.0,top
R71,129.81,-50.0,0.0,top
R81,130.19,-53.0,0.0,top
R91,130.19,-56.0,0.0,top
SW1,113.25,-89.75,90.0,top
U1,117.365,-110.025,270.0,top
U2,107.11,-78.81,270.0,top
